[WONDERFUL M@GIC!! Day1]
大橋彩香, 福原綾香, 原紗友里, 青木瑠璃子, 赤﨑千夏, 五十嵐裕美, 上坂すみれ, 桜咲千依, 大坪由佳, 高森奈津美, 津田美波, 松嵜麗, 三宅麻理恵, 山本希望, 佳村はるか
32	ハイファイ☆デイズ	今井麻夏, 春瀬なつみ, 久野美咲
33	みんなのきもち	久野美咲
34	GOIN'!!!	全員(竹達彩奈・久野美咲を含む)
35	EVERMORE	全員
36	お願い！シンデレラ	全員(竹達彩奈・久野美咲を含む)
[TriCastle Story SSA Day2]
大橋彩香, 福原綾香, 原紗友里, 青木瑠璃子, 五十嵐裕美, 上坂すみれ, 内田真礼, 大坪由佳, 大空直美, 黒沢ともよ, 洲崎綾, 高森奈津美, 渕上舞, 松井恵理子, 松嵜麗, 三宅麻理恵, 安野希世乃, 山本希望, 佳村はるか, 早見沙織, 東山奈央
1	Star!!	全員
2	Shine!!	全員
3	Story	大橋彩香, 福原綾香, 原紗友里, 渕上舞, 松井恵理子
4	LET'S GO HAPPY!!	黒沢ともよ, 松嵜麗, 山本希望
5	Happy×2 Days	五十嵐裕美, 大坪由佳, 大空直美
6	Memories	上坂すみれ, 洲崎綾, 内田真礼
7	-LEGNE- 仇なす剣 光の旋律	内田真礼
8	私色ギフト	黒沢ともよ, 松嵜麗, 山本希望, 佳村はるか
9	Heart Voice	五十嵐裕美, 大坪由佳, 大空直美, 三宅麻理恵
10	Nebula Sky	上坂すみれ
11	Wonder goes on!!	青木瑠璃子, 高森奈津美, 三宅麻理恵, 安野希世乃
12	できたてEvo! Revo! Generation!	大橋彩香, 福原綾香, 原紗友里
13	Rockin' Emotion	安野希世乃
14	ØωØver!!	青木瑠璃子, 高森奈津美, 安野希世乃(冒頭のみ)
15	Trancing Pulse	福原綾香, 渕上舞, 松井恵理子
16	こいかぜ	早見沙織
17	Nocturne	早見沙織, 東山奈央
18	この空の下	上坂すみれ, 内田真礼, 洲崎綾
19	心もよう	全員
20	流れ星キセキ	大橋彩香, 福原綾香, 原紗友里
21	M@GIC☆	大橋彩香, 福原綾香, 原紗友里, 青木瑠璃子, 五十嵐裕美, 上坂すみれ, 内田真礼, 大坪由佳, 大空直美, 黒沢ともよ, 洲崎綾, 高森奈津美, 松嵜麗, 山本希望
22	夢色ハーモニー	全員
23	Yes! Party time!!	全員
24	SUPERLOVE☆	山本希望
25	NUDIE★	佳村はるか
26	おかしな国のおかし屋さん	大坪由佳, 上坂すみれ(王子役)
27	Sparkling Girl	青木瑠璃子
28	ニャンと☆スペクタクル	高森奈津美
29	ステップ！	原紗友里
30	AnemoneStar	福原綾香
31	はにかみdays	大橋彩香
32	EVERMORE	全員(早見沙織・東山奈央を含む)
33	GOIN'!!!	全員
34	夕映えプレゼント	全員
35	お願い！シンデレラ	全員(早見沙織・東山奈央を含む)
[Serendipity Parade!!! 宮城 Day1]
五十嵐裕美, 上坂すみれ, 桜咲千依, 大空直美, 金子真由美, 佐藤亜美菜, 鈴木絵理, 伊達朱里紗, 千菅春香, 東山奈央, のぐちゆり, 松嵜麗, 三宅麻理恵, 杜野まこ, 朝井彩加
1	Shine!!	全員
2	にょわにょわーるど☆	松嵜麗
3	cherry*merry*cherry	大空直美
4	スローライフ・ファンタジー	五十嵐裕美
5	Flip Flop	鈴木絵理, のぐちゆり, 松嵜麗
6	Angel Breeze	東山奈央
7	たくさん！	上坂すみれ
8	ミラクルテレパシー	鈴木絵理, 金子真由美, 杜野まこ
9	Nocturne	東山奈央, 上坂すみれ, 千菅春香
10	Orange Sapphire	鈴木絵理, 伊達朱里紗, のぐちゆり, 松嵜麗, 杜野まこ
11	Nation Blue	上坂すみれ, 桜咲千依, 佐藤亜美菜, 千菅春香, 東山奈央
12	キラッ！満開スマイル	五十嵐裕美, 大空直美, 金子真由美, 三宅麻理恵, 朝井彩加
13	BEYOND THE STARLIGHT	全員
14	One Life	千菅春香
15	気持ちいいよね 一等賞！	杜野まこ
16	メルヘン∞メタモルフォーゼ！	三宅麻理恵
17	∀NSWER	朝井彩加, 桜咲千依, 佐藤亜美菜
18	あんきら ! ？狂騒曲	五十嵐裕美, 松嵜麗
19	純情Midnight伝説	千菅春香, 金子真由美, 伊達朱里紗, のぐちゆり, 三宅麻理恵
20	Lunatic Show	桜咲千依, 佐藤亜美菜, 杜野まこ, 朝井彩加
21	サマカニ!!	東山奈央, 伊達朱里紗, 鈴木絵理, 大空直美, のぐちゆり
22	夢色ハーモニー	全員
23	EVERMORE	全員
24	お願い！シンデレラ	全員
[Serendipity Parade!!! 宮城 Day2]
五十嵐裕美, 上坂すみれ, 桜咲千依, 大空直美, 金子真由美, 佐藤亜美菜, 鈴木絵理, 伊達朱里紗, 千菅春香, 東山奈央, のぐちゆり, 松嵜麗, 三宅麻理恵, 杜野まこ, 朝井彩加
1	Shine!!	全員
2	にょわにょわーるど☆	松嵜麗
3	cherry*merry*cherry	大空直美
4	スローライフ・ファンタジー	五十嵐裕美
5	Flip Flop	鈴木絵理, のぐちゆり, 松嵜麗
6	Angel Breeze	東山奈央
7	たくさん！	上坂すみれ
8	ミラクルテレパシー	鈴木絵理, 金子真由美, 杜野まこ
9	Nocturne	東山奈央, 上坂すみれ, 千菅春香
10	Orange Sapphire	鈴木絵理, 伊達朱里紗, のぐちゆり, 松嵜麗, 杜野まこ
11	Nation Blue	上坂すみれ, 桜咲千依, 佐藤亜美菜, 千菅春香, 東山奈央
12	キラッ！満開スマイル	五十嵐裕美, 大空直美, 金子真由美, 三宅麻理恵, 朝井彩加
13	BEYOND THE STARLIGHT	全員
14	One Life	千菅春香
15	気持ちいいよね 一等賞！	杜野まこ
16	メルヘン∞メタモルフォーゼ！	三宅麻理恵
17	∀NSWER	朝井彩加, 桜咲千依, 佐藤亜美菜
18	あんきら ! ？狂騒曲	五十嵐裕美, 松嵜麗
19	純情Midnight伝説	千菅春香, 金子真由美, 伊達朱里紗, のぐちゆり, 三宅麻理恵
20	Lunatic Show	桜咲千依, 佐藤亜美菜, 杜野まこ, 朝井彩加
21	サマカニ!!	東山奈央, 伊達朱里紗, 鈴木絵理, 大空直美, のぐちゆり
22	夢色ハーモニー	全員
23	EVERMORE	全員
24	お願い！シンデレラ	全員
[Serendipity Parade!!! 石川 Day1]
青木瑠璃子, 飯田友子, 大坪由佳, 金子有希, 洲崎綾, 髙野麻美, 高橋花林, 種﨑敦美, 津田美波, 長島光那, 花守ゆみり, 原優子, 春瀬なつみ, 牧野由依, 安野希世乃
1	Yes! Party time!!	全員
2	エヴリデイドリーム	牧野由依
3	恋のHamburg♪	種﨑敦美
4	青空リレーション	金子有希
5	私色ギフト	髙野麻美, 高橋花林, 花守ゆみり, 春瀬なつみ
6	おかしな国のおかし屋さん	大坪由佳, 飯田友子(王子役)
